,AREA,PERIMETER,STATION_ID,METHOD,PLAN_NO,SCALE,SOURCE,NOTE_CODE,MODIFIED,VERSION,latitude,longitude
5397,0.0,17.22549971,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25188671210166,146.4462075486935
5398,0.0,21.95593207,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25193485502182,146.43772591968468
5399,0.0,40.75430773,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.2519568832958,146.4259225064923
5400,0.0,21.9102082,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25195592089279,146.4204203651252
5401,0.0,19.01337802,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.252015225617555,146.42170664079336
5402,0.0,15.61368282,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25202435694363,146.42592360873414
5403,0.0,20.20085314,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25211847738063,146.43170599101305
5404,0.0,30.63055562,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.252232297503085,146.4287338874918
5405,0.0,681.03388658,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25266203424582,146.4290388239049
5406,0.0,52.13410885,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.252433456452124,146.43198663622854
5407,0.0,465.28272688,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25354023418643,146.42860776164562
5408,0.0,42.45907965,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25311146724,146.43386399158882
5409,0.0,36.08558385,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.253116085991465,146.4255307756235
5410,0.0,17.60772683,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25318155775658,146.4339058831563
5411,0.0,23.33642932,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25328944000696,146.42523087241347
5412,0.0,195.61616835,99999999,Modelled,,0,West Gippsland CMA,52902,20080315,3,-38.25342825158605,146.43425277976846
